bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Boronia granitica,5743,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Brachyloma saxicola,9295,Clarke Fulloon 1999,disp1,ant,NA,NA,NA,"dispersal, ? birds, ? ants"
Brachyloma saxicola,9295,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Callistemon pungens,9126,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, wind"
Callistemon pungens,9126,Clarke Fulloon 1999,surv4,Basal,NA,NA,NA,"Fire Response, Resprout from basal stem buds such as those in lignotubers?"
Dodonaea hirsuta,5897,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, wind"
Dodonaea hirsuta,5897,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Eucalyptus caleyi subsp. ovendenii,9517,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, wind"
Eucalyptus caleyi subsp. ovendenii,9517,Clarke Fulloon 1999,surv4,Basal,NA,NA,NA,"Fire Response, Resprout from basal stem buds such as those in lignotubers,Resprout from epicormic shoots"
Eucalyptus mckieana,4123,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, wind"
Eucalyptus mckieana,4123,Clarke Fulloon 1999,surv4,Basal,NA,NA,NA,"Fire Response, Resprout from basal stem buds such as those in lignotubers,Resprout from epicormic shoots"
Eucalyptus youmanii,4199,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, wind"
Eucalyptus youmanii,4199,Clarke Fulloon 1999,surv4,Basal,NA,NA,NA,"Fire Response, Resprout from basal stem buds such as those in lignotubers,Resprout from epicormic shoots"
Grevillea beadleana,8293,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Hakea macrorrhyncha,9602,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, wind"
Hakea macrorrhyncha,9602,Clarke Fulloon 1999,germ1,Canopy,NA,NA,NA,"Fire Response, Propagules remained after fires passage are held as viable canopy-stored seed"
Homoranthus lunatus,9034,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed?"
Kunzea bracteolata,4205,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Leucopogon confertus,2614,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed?"
