row_number,trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower
97521,surv5,Linum trigynum,3584,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97522,surv5,Hibbertia incana,9696,NSWFFRDv2.1,"{""Specht Rayson Jackman 1958""}","{""Life span"",>15}","{""Cell color index 12""}",NA,NA,NA,15
97523,surv5,Hibbertia riparia,2545,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"","">60 (1)""}",NA,NA,NA,NA,60
97524,surv5,Hibbertia riparia,2545,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",""40-80 (9)""}",NA,NA,NA,80,40
97525,surv5,Hibbertia scandens,2548,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",5-30}","{""Cell color index 12""}",NA,NA,30,5
97526,surv5,Hibbertia serpyllifolia,2550,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",40-80}","{""Cell color index 12""}",NA,NA,80,40
97527,surv5,Hibbertia serpyllifolia,2550,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",40-80}","{""Cell color index 12""}",NA,NA,80,40
97528,surv5,Hibiscus diversifolius,3641,NSWFFRDv2.1,NA,"{""Life span"",3-10}",NA,NA,NA,10,3
97529,surv5,Hibiscus heterophyllus subsp. heterophyllus,8877,NSWFFRDv2.1,NA,"{""Life span"",10-40}",NA,NA,NA,40,10
97530,surv5,Hibiscus splendens,3645,NSWFFRDv2.1,NA,"{""Life span"",5-10}",NA,NA,NA,10,5
97531,surv5,Histiopteris incisa,7271,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
97532,surv5,Homalanthus populifolius,11947,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",20-30}","{""Cell color index 12""}",NA,NA,30,20
97533,surv5,Hovea montana,9768,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",70?}","{""Cell color index 12"",uncertain}",NA,70,NA,NA
97534,surv5,Howittia trilocularis,3649,NSWFFRDv2.1,NA,"{""Life span"",5-20}",NA,NA,NA,20,5
97535,surv5,Hyalosperma demissum,9412,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97536,surv5,Hydrocotyle acutiloba,7959,NSWFFRDv2.1,"{""Clarke 1989""}","{""Life span"",<5}","{""Cell color index 12""}",NA,NA,5,NA
97537,surv5,Hydrocotyle bonariensis,1123,NSWFFRDv2.1,NA,"{""Life span"",<5}",NA,NA,NA,5,NA
97538,surv5,Hydrocotyle callicarpa,1124,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97539,surv5,Hydrocotyle laxiflora,1128,NSWFFRDv2.1,"{""EcoGIS 2002""}","{""Life span"",""present in 10 yo site""}","{""Cell color index 12""}",NA,NA,NA,NA
97540,surv5,Hymenophyllum cupressiforme,8107,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
97541,surv5,Hypericum gramineum,7240,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""5-25 (1, 9), present at 20 yo site (105)""}",NA,NA,NA,25,5
97542,surv5,Hypericum gramineum,7240,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""5-25 (1, 9), present at 20 yo site (105)""}",NA,NA,NA,25,5
97543,surv5,Hypericum gramineum,7240,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""5-25 (1, 9), present at 20 yo site (105)""}",NA,NA,NA,25,5
97544,surv5,Hypericum japonicum,2203,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97545,surv5,Hypochaeris glabra,1540,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97546,surv5,Hypolaena fastigiata,5533,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",""indefinite (9)""}",NA,NA,NA,NA,NA
97547,surv5,Hypolaena fastigiata,5533,NSWFFRDv2.1,"{""Clemens Franklin 1980""}","{""Life span"",""absent or rare in 10 yo heath (46)""}",NA,NA,NA,NA,NA
97548,surv5,Hypolepis muelleri,7749,NSWFFRDv2.1,NA,"{""Life span"",indefinite}",NA,NA,NA,NA,NA
97549,surv5,Hypoxis hygrometrica,3553,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",25-60}","{""Cell color index 12""}",NA,NA,60,25
97550,surv5,Imperata cylindrica,6803,NSWFFRDv2.1,NA,"{""Life span"",""present at 20-22 yo sites""}",NA,NA,NA,NA,NA
97551,surv5,Isoetopsis graminifolia,1542,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97552,surv5,Isolepis aucklandica,2446,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",5?}","{""Cell color index 12"",uncertain}",NA,5,NA,NA
97553,surv5,Isolepis crassiuscula,6471,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",5?}","{""Cell color index 12"",uncertain}",NA,5,NA,NA
97554,surv5,Isolepis montivaga,2456,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",5?}","{""Cell color index 12"",uncertain}",NA,5,NA,NA
97555,surv5,Isolepis platycarpa,2458,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97556,surv5,Isolepis subtilissima,2463,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",5?}","{""Cell color index 12"",uncertain}",NA,5,NA,NA
