bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Baloskion gracile,10607,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Schoenus brevifolius,2492,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Schoenus lepidosperma subsp. pachylepis,9057,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Senecio bathurstianus,11809,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Senecio bathurstianus,11809,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Sphaerolobium vimineum,3033,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Sphaerolobium vimineum,3033,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Sphaerolobium vimineum,3033,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Thysanotus juncifolius,3572,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Thysanotus juncifolius,3572,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Liparophyllum exaltatum,14804,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Liparophyllum exaltatum,14804,Keith 1991,repr2,Exclusive,NA,NA,NA,"fruit_production, exclusive pulse in first 2-3 postfire reproductive seasons"
Xyris bracteata,11035,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Xyris bracteata,11035,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Lycopodiella lateralis,9293,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Lycopodiella lateralis,9293,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Patersonia spp.,PATE,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Patersonia spp.,PATE,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Aristida warburgii,4774,Keith 1991,surv4,Short rhizome,NA,NA,NA,"{vegetative_spread,clonal decreaser}"
Aristida warburgii,4774,Keith 1991,surv4,Apical,NA,NA,NA,"{bud_type,active}"
Blandfordia nobilis,3529,Keith 1991,surv4,Apical,NA,NA,NA,"{bud_type,active}"
Blechnum nudum,8058,Keith 1991,surv4,Long rhizome or root sucker,NA,NA,NA,"{vegetative_spread,increaser}"
Burchardia umbellata,3533,Keith 1991,surv4,Apical,NA,NA,NA,"{bud_type,active}"
Caesia parviflora,3535,Keith 1991,surv4,Apical,NA,NA,NA,"{bud_type,active}"
Chorizandra cymbaria,2344,Keith 1991,surv4,Long rhizome or root sucker,NA,NA,NA,"{vegetative_spread,increaser}"
Chorizandra cymbaria,2344,Keith 1991,surv4,Apical,NA,NA,NA,"{bud_type,active}"
Chorizandra sphaerocephala,2345,Keith 1991,surv4,Long rhizome or root sucker,NA,NA,NA,"{vegetative_spread,increaser}"
